code	offical_name	offical_summary_category	suggested_categorization	average_minutes	avg_minutes_per_participant	participation_rate
t120401	Attending performing arts	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.96	165.37	0.01
t120402	Attending museums	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.34	148.03	0
t120403	Attending movies/film	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	1.74	137.02	0.01
t120404	Attending gambling establishments	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.58	180.61	0
t120405	Security procedures rel. to arts & entertainment	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0	25.76	0
t120499	Arts and entertainment, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	1.59	167.73	0.01
t120501	Waiting assoc. w/socializing & communicating	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.02	22.44	0
t120502	Waiting assoc. w/attending/hosting social events	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.01	33.79	0
t120503	Waiting associated with relaxing/leisure	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0	21.31	0
t120504	Waiting associated with arts & entertainment	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.05	32.22	0
t120599	Waiting associated with socializing, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0	54.73	0
t129999	Socializing, relaxing, and leisure, n.e.c.*	Socializing, Relaxing, and Leisure	Socializing, Relaxing, and Leisure	0.02	81.49	0
t130101	Doing aerobics	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.17	50.95	0
t130102	Playing baseball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.16	142.23	0
t130103	Playing basketball	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.83	125.12	0.01
t130104	Biking	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.5	79.32	0.01
t130105	Playing billiards	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.33	126.57	0
t130106	Boating	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.3	177.35	0
t130107	Bowling	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.4	153.2	0
t130108	Climbing, spelunking, caving	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.03	172.18	0
t130109	Dancing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.31	132	0
t130110	Participating in equestrian sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.11	135.9	0
t130111	Fencing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	120	0
t130112	Fishing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	1.05	252.56	0
t130113	Playing football	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.28	130.44	0
t130114	Golfing	Sports Exercise and Recreation	Sports, Exercise, and Recreation	1.15	203.36	0.01
t130115	Doing gymnastics	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.02	139.13	0
t130116	Hiking	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.26	140.67	0
t130117	Playing hockey	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.04	126.37	0
t130118	Hunting	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.63	285.43	0
t130119	Participating in martial arts	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.07	86.66	0
t130120	Playing racquet sports	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.28	111.81	0
t130121	Participating in rodeo competitions	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0	97.82	0
t130122	Rollerblading	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.12	132.06	0
t130123	Playing rugby	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.01	187.66	0
t130124	Running	Sports Exercise and Recreation	Sports, Exercise, and Recreation	0.76	51.46	0.01
